Date,Open,High,Low,Close,Adj Close,Volume
2018-08-07,52.330002,52.737499,51.130001,52.217499,49.972004,488430400
2018-08-14,52.540001,54.794998,52.064999,53.865002,51.729443,575082800
2018-08-21,54.200001,54.685001,53.459999,54.485001,52.324856,412250400
2018-08-28,54.752499,57.217499,54.730000,56.907501,54.651318,568662000
2018-09-04,57.102501,57.417500,54.117500,54.582500,52.418495,688597600
2018-09-11,54.502499,57.087502,54.139999,54.470001,52.310463,783714000
2018-09-18,54.447498,55.570000,53.825001,55.197498,53.009109,836977600
2018-09-25,54.937500,57.355000,54.924999,56.814999,54.562477,501002000
2018-10-02,56.812500,58.367500,55.049999,55.942501,53.724567,594917600
2018-10-09,55.910000,56.817501,53.080002,54.340000,52.185608,772539600
2018-10-16,54.732498,55.840000,53.250000,55.162498,52.975506,586086000
2018-10-23,53.957500,56.057499,51.522499,53.060001,50.956356,810972000
2018-10-30,52.787498,55.590000,49.542500,50.397499,48.399418,1163338000
2018-11-06,50.480000,52.529999,48.447498,48.542500,46.617962,704684800
2018-11-13,47.907501,49.294998,46.247501,46.465000,44.778522,932065200
2018-11-20,44.592499,45.367500,42.564999,43.654999,42.070503,670287600
2018-11-27,42.877499,46.235001,42.720001,46.205002,44.527958,838215600
2018-12-04,45.237499,45.597500,40.832500,42.400002,40.861065,755001200
2018-12-11,42.915001,43.142502,40.682499,40.985001,39.497414,799198400
2018-12-18,41.345001,41.882500,36.647499,36.707500,35.375175,1122302400
2018-12-25,37.075001,39.840000,36.680000,39.435001,38.003681,755978000
2019-01-01,38.722500,39.712502,35.500000,36.982498,35.640198,966947200
2019-01-08,37.389999,38.632500,37.130001,37.500000,36.138908,725470000
2019-01-15,37.567501,39.470001,37.512501,39.205002,37.782032,491411200
2019-01-22,39.102501,39.532501,37.924999,39.075001,37.656746,554774800
2019-01-29,39.062500,42.915001,38.527500,42.812500,41.258591,830400800
2019-02-05,43.215000,43.892502,42.105000,42.357498,40.820103,563585200
2019-02-12,42.525002,43.119999,42.345001,42.605000,41.234715,364944800
2019-02-19,42.427502,43.967499,42.372501,43.557499,42.156582,412494000
2019-02-26,43.427502,44.437500,43.182499,43.962502,42.548553,505773600
2019-03-05,43.985001,44.779999,42.375000,44.724998,43.286526,485418400
2019-03-12,45.000000,47.097500,44.842499,47.005001,45.493191,609369200
2019-03-19,47.087502,49.422501,46.182499,47.185001,45.667408,799875200
2019-03-26,47.915001,48.220001,46.145000,47.810001,46.272308,607421200
2019-04-02,47.772499,50.057499,47.762501,50.025002,48.416069,438240400
2019-04-09,50.080002,50.712502,49.052502,49.807499,48.205559,494646400
2019-04-16,49.865002,51.235001,49.639999,51.132500,49.487949,392954000
2019-04-23,51.107498,52.119999,50.529999,51.152500,49.507305,401042400
2019-04-30,50.764999,53.827499,49.777500,52.119999,50.443691,786776000
